Russia,Saudi Arabia,1685,1582,2018,0,1
Egypt,Uruguay,1646,1890,2018,0,1
Morocco,Iran,1711,1793,2018,0,1
Portugal,Spain,1975,2048,2018,0,1
France,Australia,1984,1714,2018,0,1
Argentina,Iceland,1985,1787,2018,0,1
Peru,Denmark,1906,1843,2018,0,1
Croatia,Nigeria,1853,1699,2018,0,1
Costa Rica,Serbia,1745,1770,2018,0,1
Germany,Mexico,2092,1859,2018,0,1
Brazil,Switzerland,2131,1879,2018,0,1
Sweden,South Korea,1796,1746,2018,0,1
Belgium,Panama,1931,1669,2018,0,1
Tunisia,England,1649,1941,2018,0,1
Colombia,Japan,1935,1693,2018,0,1
Poland,Senegal,1831,1747,2018,0,1
Russia,Egypt,1685,1646,2018,0,1
Portugal,Morocco,1975,1711,2018,0,1
Uruguay,Saudi Arabia,1890,1582,2018,0,1
Iran,Spain,1793,2048,2018,0,1
Denmark,Australia,1843,1714,2018,0,1
France,Peru,1984,1906,2018,0,1
Argentina,Croatia,1985,1853,2018,0,1
Brazil,Costa Rica,2131,1745,2018,0,1
Nigeria,Iceland,1699,1787,2018,0,1
Serbia,Switzerland,1770,1879,2018,0,1
Belgium,Tunisia,1931,1649,2018,0,1
South Korea,Mexico,1746,1859,2018,0,1
Germany,Sweden,2092,1796,2018,0,1
England,Panama,1941,1669,2018,0,1
Japan,Senegal,1693,1747,2018,0,1
Poland,Colombia,1831,1935,2018,0,1
Uruguay,Russia,1890,1685,2018,0,1
Saudi Arabia,Egypt,1582,1646,2018,0,1
Iran,Portugal,1793,1975,2018,0,1
Spain,Morocco,2048,1711,2018,0,1
Denmark,France,1843,1984,2018,0,1
Australia,Peru,1714,1906,2018,0,1
Nigeria,Argentina,1699,1985,2018,0,1
Iceland,Croatia,1787,1853,2018,0,1
Mexico,Sweden,1859,1796,2018,0,1
South Korea,Germany,1746,2092,2018,0,1
Serbia,Brazil,1770,2131,2018,0,1
Switzerland,Costa Rica,1879,1745,2018,0,1
Japan,Poland,1693,1831,2018,0,1
Senegal,Colombia,1747,1935,2018,0,1
Panama,Tunisia,1669,1649,2018,0,1
England,Belgium,1941,1931,2018,0,1
