23/02/1901,Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland
02/03/1901,Wales,Scotland,1,1,British Championship,Wrexham,Wales
09/03/1901,England,Northern Ireland,3,0,British Championship,Southampton,England
18/03/1901,England,Wales,6,0,British Championship,Newcastle,England
23/03/1901,Northern Ireland,Wales,0,1,British Championship,Belfast,Ireland
30/03/1901,England,Scotland,2,2,British Championship,London,England
22/02/1902,Wales,Northern Ireland,0,3,British Championship,Cardiff,Wales
01/03/1902,Northern Ireland,Scotland,1,5,British Championship,Belfast,Ireland
03/03/1902,Wales,England,0,0,British Championship,Wrexham,Wales
15/03/1902,Scotland,Wales,5,1,British Championship,Greenock,Scotland
22/03/1902,Northern Ireland,England,0,1,British Championship,Belfast,Ireland
03/05/1902,England,Scotland,2,2,British Championship,Birmingham,England
20/07/1902,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay
12/10/1902,Austria,Hungary,5,0,Friendly,Vienna,Austria
02/03/1903,England,Wales,2,1,British Championship,Portsmouth,England
09/03/1903,Wales,Scotland,0,1,British Championship,Cardiff,Wales
21/03/1903,Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland
28/03/1903,Northern Ireland,Wales,2,0,British Championship,Belfast,Ireland
04/04/1903,England,Scotland,1,2,British Championship,Sheffield,England
05/04/1903,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary
13/09/1903,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina
11/10/1903,Austria,Hungary,4,2,Friendly,Vienna,Austria
29/02/1904,Wales,England,2,2,British Championship,Wrexham,Wales
12/03/1904,Northern Ireland,England,1,3,British Championship,Belfast,Ireland
12/03/1904,Scotland,Wales,1,1,British Championship,Dundee,Scotland
21/03/1904,Wales,Northern Ireland,0,1,British Championship,Bangor,Wales
26/03/1904,Northern Ireland,Scotland,1,1,British Championship,Dublin,Ireland
09/04/1904,Scotland,England,0,1,British Championship,Glasgow,Scotland
01/05/1904,Belgium,France,3,3,Friendly,Brussels,Belgium
02/06/1904,Hungary,Austria,3,0,Friendly,Budapest,Hungary
12/02/1905,France,Switzerland,1,0,Friendly,Paris,France
25/02/1905,England,Northern Ireland,1,1,British Championship,Middlesbrough,England
06/03/1905,Wales,Scotland,3,1,British Championship,Wrexham,Wales
18/03/1905,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland
27/03/1905,England,Wales,3,1,British Championship,Liverpool,England
01/04/1905,England,Scotland,1,0,British Championship,London,England
08/04/1905,Northern Ireland,Wales,2,2,British Championship,Belfast,Ireland
09/04/1905,Hungary,Austria,0,0,Friendly,Budapest,Hungary
30/04/1905,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium
07/05/1905,Belgium,France,7,0,Friendly,Brussels,Belgium
14/05/1905,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands
15/08/1905,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina
17/02/1906,Northern Ireland,England,0,5,British Championship,Belfast,Ireland
03/03/1906,Scotland,Wales,0,2,British Championship,Edinburgh,Scotland
17/03/1906,Northern Ireland,Scotland,0,1,British Championship,Dublin,Ireland
19/03/1906,Wales,England,0,1,British Championship,Cardiff,Wales
01/04/1906,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary
02/04/1906,Wales,Northern Ireland,4,4,British Championship,Wrexham,Wales
07/04/1906,Scotland,England,2,1,British Championship,Glasgow,Scotland
22/04/1906,France,Belgium,0,5,Friendly,Saint-Cloud,France
29/04/1906,Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium
13/05/1906,Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands
15/08/1906,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay
07/10/1906,Czechoslovakia,Hungary,4,4,Friendly,Prague,Bohemia
21/10/1906,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina
04/11/1906,Hungary,Austria,3,1,Friendly,Budapest,Hungary
16/02/1907,England,Northern Ireland,1,0,British Championship,Liverpool,England
23/02/1907,Northern Ireland,Wales,2,3,British Championship,Belfast,Ireland
04/03/1907,Wales,Scotland,1,0,British Championship,Wrexham,Wales
16/03/1907,Scotland,Northern Ireland,3,0,British Championship,Glasgow,Scotland
18/03/1907,England,Wales,1,1,British Championship,London,England
06/04/1907,England,Scotland,1,1,British Championship,Newcastle,England
07/04/1907,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary
14/04/1907,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium
21/04/1907,Belgium,France,1,2,Friendly,Brussels,Belgium
